 -0.10000000, -169.73357266, -169.68687824, -169.69437854, -169.85947186, -169.73994753
 -0.09000000, -169.73680070, -169.69074438, -169.69540570, -169.86140630, -169.74304783
 -0.08000000, -169.73960682, -169.69411934, -169.69604580, -169.86286165, -169.74573097
 -0.07000000, -169.74199751, -169.69700718, -169.69632172, -169.86384421, -169.74800393
 -0.06000000, -169.74397880, -169.69940966, -169.69625634, -169.86435905, -169.74987298
 -0.05000000, -169.74555438, -169.70132929, -169.69587160, -169.86440997, -169.75134309
 -0.04000000, -169.74672673, -169.70276474, -169.69518836, -169.86399927, -169.75241869
 -0.03000000, -169.74749677, -169.70371384, -169.69422574, -169.86336646, -169.75253117
 -0.02000000, -169.74786379, -169.70417286, -169.69300049, -169.86398438, -169.75274105
 -0.01000000, -169.74782542, -169.70413646, -169.69152575, -169.86005884, -169.75246786
  0.00000000, -169.74737757, -169.70359768, -169.68981133, -169.86301405, -169.75129507
  0.01000000, -169.74651435, -169.70254799, -169.68786160, -169.81587484, -169.75237078
  0.02000000, -169.74522802, -169.70097718, -169.68567551, -169.85483639, -169.74964634
  0.03000000, -169.74350898, -169.69887345, -169.68324576, -169.85484308, -169.74804759
  0.04000000, -169.74134566, -169.69622331, -169.68055874, -169.85162019, -169.74599174
  0.05000000, -169.73872453, -169.69301165, -169.67759430, -169.84616693, -169.74347449
  0.06000000, -169.73563005, -169.68922166, -169.67432618, -169.84016365, -169.74048325
  0.07000000, -169.73204464, -169.68483486, -169.67072307, -169.83780444, -169.73700154
  0.08000000, -169.72794863, -169.67983109, -169.66674925, -169.83219648, -169.73301015
  0.09000000, -169.72332033, -169.67418846, -169.66236601, -169.82873146, -169.72848900
  0.10000000, -169.71813595, -169.66788339, -169.65753278, -169.82056596, -169.72340866
